"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","q95hd","u_q95hd","hrmode","u_hrmode","skew","u_skew","skewgm","u_skewgm","skewgm_mcf","u_skewgm_mcf","kurt","u_kurt","kurtcs","u_kurtcs","gini","u_gini","gimc","u_gimc","bmax","u_bmax","gmax","u_gmax"
"WU2015","B3LYP",1,TRUE,1.45667,0.129,2.70183e-17,0.17,2.09711,0.197,4.79506,0.695,0.424076,0.342,-0.492714,0.488,-0.267104,0.0812,0.502008,0.0695,5.82023,0.88,1.98868,0.785,0.49678,0.022,0.538977,0.0277,0.581429,0.245,0.544221,0.0225
"WU2015","B3PW91",1,TRUE,1.46608,0.13,1.12039e-17,0.171,2.10853,0.196,4.92927,0.699,0.523458,0.282,-0.542412,0.462,-0.271882,0.0816,0.498797,0.0621,5.73578,0.846,2.20107,0.748,0.492559,0.021,0.549741,0.026,0.523641,0.208,0.549742,0.0236
"WU2015","B97-2",1,TRUE,1.49364,0.132,7.81523e-18,0.173,2.14572,0.198,4.98643,0.707,0.964395,0.209,-0.558034,0.453,-0.278292,0.0799,0.502352,0.0629,5.63349,0.835,2.37618,0.788,0.494341,0.0207,0.54197,0.022,0.604581,0.132,0.556774,0.0214
"WU2015","M06",1,TRUE,1.27937,0.109,-3.20326e-18,0.145,1.80701,0.18,3.7941,0.613,-0.0397693,0.427,0.268318,0.568,-0.12326,0.0791,0.338385,0.0978,6.41045,1.23,1.15665,0.793,0.485079,0.0257,0.481356,0.0268,0.428119,0.357,0.498506,0.0216
"WU2015","M06-2X",1,TRUE,1.26209,0.0929,-4.59732e-17,0.131,1.67218,0.129,3.59415,0.398,0.38595,0.408,-0.333343,0.324,-0.194954,0.078,0.394603,0.0738,4.19222,0.56,0.629251,0.502,0.44468,0.0218,0.479962,0.0247,0.55584,0.362,0.48514,0.0223
"WU2015","M06-HF",1,TRUE,1.5002,0.0999,3.99794e-17,0.15,1.92431,0.132,4.02666,0.396,1.58962,0.432,-0.692617,0.216,-0.243288,0.0655,0.386037,0.0919,3.67396,0.483,0.349738,0.387,0.417427,0.0216,0.483348,0.0259,1.09926,0.24,0.503775,0.0219
"WU2015","SOGGA11X",1,TRUE,1.44126,0.113,-6.68527e-17,0.155,1.97173,0.158,4.58148,0.449,0.487013,0.268,-0.677901,0.327,-0.302467,0.0754,0.467304,0.0592,4.52603,0.637,1.38567,0.621,0.467929,0.0205,0.519845,0.0231,0.865124,0.187,0.531817,0.021
"WU2015","tHCTHhyb",1,TRUE,1.5684,0.142,2.6948e-17,0.186,2.27911,0.216,5.34811,0.768,0.566943,0.177,-0.534457,0.484,-0.272953,0.0837,0.497757,0.0576,5.92238,0.887,2.43211,0.826,0.500157,0.0209,0.56042,0.0242,0.569503,0.11,0.560424,0.0231
"WU2015","BMK",1,TRUE,1.59653,0.117,3.94321e-17,0.168,2.11816,0.151,4.7594,0.372,0.533807,0.459,-0.702785,0.23,-0.223998,0.0691,0.457785,0.0779,3.85011,0.538,0.764819,0.462,0.45365,0.0206,0.490769,0.0239,0.787524,0.425,0.493574,0.022
"WU2015","TPSSh",1,TRUE,1.52237,0.142,-3.69436e-17,0.184,2.24685,0.221,5.27913,0.776,0.426497,0.187,-0.467869,0.523,-0.227081,0.0851,0.511058,0.0588,6.271,0.952,2.4721,0.891,0.513174,0.0221,0.555583,0.0239,0.440453,0.132,0.555862,0.0232
"WU2015","LC-rTPSS",1,TRUE,1.12352,0.081,-2.41515e-17,0.115,1.48334,0.11,3.22751,0.316,0.339411,0.433,-0.242711,0.276,-0.148903,0.0678,0.372485,0.0769,3.99771,0.517,0.807791,0.422,0.445112,0.0221,0.47252,0.0233,0.339427,0.349,0.47252,0.0213
"WU2015","LC-wPBE",1,TRUE,1.0923,0.0785,9.51107e-18,0.113,1.43525,0.0993,3.24744,0.259,0.596193,0.333,-0.255351,0.215,-0.174323,0.0755,0.389397,0.0781,3.58129,0.371,1.109,0.427,0.444236,0.0187,0.486872,0.0233,0.526456,0.247,0.48794,0.0212
"WU2015","LC-N12",1,TRUE,1.21995,0.0896,-3.05969e-17,0.125,1.627,0.124,3.51843,0.352,0.569119,0.351,-0.542628,0.281,-0.17297,0.0736,0.422042,0.0747,4.25009,0.679,0.924296,0.487,0.453404,0.022,0.492155,0.0247,0.579309,0.263,0.492339,0.0226
"WU2015","LC-HCTH",1,TRUE,1.1329,0.0884,-3.00376e-17,0.117,1.54225,0.132,3.46162,0.37,0.688311,0.35,-0.591388,0.347,-0.147992,0.0721,0.446907,0.0715,5.02085,0.892,1.1776,0.537,0.460632,0.0235,0.495727,0.0248,0.688047,0.253,0.495728,0.0228
"WU2015","LC-tHCTH",1,TRUE,1.28436,0.0979,-4.81087e-17,0.131,1.73067,0.14,3.67499,0.389,0.330242,0.271,-0.598404,0.322,-0.136586,0.0661,0.29787,0.0769,4.62621,0.868,0.726697,0.443,0.462923,0.0241,0.478832,0.0245,0.310628,0.275,0.478905,0.0229
"WU2015","M11",1,TRUE,1.3117,0.0858,-2.01736e-17,0.131,1.65733,0.114,3.40505,0.369,1.32727,0.72,-0.0724177,0.26,-0.117861,0.0781,0.294554,0.0864,3.504,0.431,0.0712273,0.367,0.403648,0.0226,0.457106,0.0247,1.17046,0.608,0.461323,0.0235
"WU2015","CAM-B3LYP",1,TRUE,1.2891,0.103,-5.47335e-19,0.139,1.76274,0.143,4.00232,0.449,0.480041,0.257,-0.511671,0.342,-0.261912,0.0728,0.467954,0.0697,4.52764,0.618,1.31493,0.542,0.467576,0.0201,0.52291,0.0227,0.514471,0.188,0.523498,0.0207
"WU2015","wB97XD",1,TRUE,1.32583,0.104,-1.94259e-17,0.143,1.7934,0.143,4.00257,0.435,0.601555,0.346,-0.449469,0.343,-0.240654,0.0735,0.444447,0.0784,4.43279,0.602,1.04679,0.516,0.45869,0.0208,0.513015,0.0261,0.634653,0.248,0.51357,0.0221
"WU2015","wB97",1,TRUE,1.19066,0.0859,-3.13147e-17,0.125,1.56486,0.106,3.45613,0.256,0.306768,0.325,-0.302187,0.205,-0.17426,0.0671,0.408587,0.073,3.48145,0.367,0.942626,0.411,0.449951,0.0192,0.482321,0.0225,0.340788,0.265,0.482603,0.0206
"WU2015","wB97X",1,TRUE,1.21633,0.092,-1.10693e-17,0.129,1.62308,0.118,3.52692,0.36,0.509521,0.317,-0.373685,0.252,-0.181111,0.0684,0.421811,0.0756,3.79625,0.437,0.986203,0.454,0.460884,0.0203,0.494227,0.0229,0.52404,0.233,0.494367,0.0202
"WU2015","N12-SX",1,TRUE,1.60192,0.134,-4.68076e-19,0.179,2.24179,0.192,5.21003,0.635,0.937059,0.293,-0.654349,0.36,-0.27823,0.0778,0.471405,0.0926,4.99324,0.704,2.02254,0.604,0.476511,0.0204,0.548278,0.0244,0.936576,0.177,0.548279,0.0223
"WU2015","MN12-SX",1,TRUE,1.74551,0.137,-1.04801e-17,0.191,2.40616,0.206,5.46197,0.733,1.28911,0.534,-0.441515,0.432,-0.247393,0.0734,0.538572,0.0783,5.1239,0.758,1.27067,0.72,0.468386,0.0236,0.525276,0.0244,1.21258,0.36,0.526268,0.0206
"WU2015","HSE06",1,TRUE,1.4542,0.127,2.99001e-17,0.168,2.07869,0.193,4.77634,0.682,0.688417,0.247,-0.450258,0.466,-0.263595,0.0817,0.485101,0.0677,5.67945,0.836,2.09427,0.737,0.48846,0.0209,0.547137,0.0251,0.627509,0.153,0.548716,0.0231
"WU2015","HISS",1,TRUE,1.47188,0.118,9.25983e-18,0.157,2.02269,0.157,4.66248,0.421,0.24964,0.405,-0.632053,0.269,-0.197772,0.0704,0.4385,0.068,4.25826,0.573,1.38919,0.503,0.481792,0.0209,0.501626,0.023,0.718735,0.287,0.512312,0.0197
"ZAS2019","HF",1,TRUE,2.27627,0.0239,-5.84729e-17,0.0388,2.95362,0.0344,5.82917,0.0798,0.154102,0.36,-0.470908,0.0627,-0.0683879,0.0113,0.307941,0.0134,4.33529,0.222,0.267729,0.0546,0.433119,0.00354,0.435083,0.00451,1.13742,0.287,0.439733,0.00357
"ZAS2019","MP2",1,TRUE,1.27044,0.0123,4.39378e-17,0.0199,1.59769,0.0149,3.14534,0.0569,-0.170111,0.171,0.07811,0.032,0.00487541,0.0111,0.246216,0.0156,3.11709,0.0636,0.0258001,0.0605,0.415362,0.00346,0.414824,0.00347,-0.0265584,0.377,0.415406,0.00369
"ZAS2019","SLATM_L2",1,TRUE,1.24268,0.025,3.88753e-17,0.0296,2.34672,0.0745,4.58174,0.141,-0.039993,0.116,0.261412,0.514,0.0321632,0.0202,0.630178,0.0122,26.3019,2.86,4.23817,0.224,0.600261,0.00543,0.600864,0.00661,-0.0461857,0.0219,0.60088,0.00543
"ZHA2018","PBE",1,TRUE,0.08565,0.00511,1.6887e-18,0.00834,0.113759,0.00753,0.24716,0.0321,0.0431431,0.0488,-0.819941,0.26,-0.128381,0.072,0.357949,0.0894,4.76694,0.619,0.738656,0.369,0.435764,0.0209,0.459956,0.0235,0.055562,0.0423,0.462421,0.0205
"ZHA2018","SCAN",1,TRUE,0.0858528,0.00549,4.01183e-18,0.00864,0.116614,0.0086,0.247378,0.0192,0.0579284,0.038,-0.529155,0.378,-0.0853207,0.065,0.31965,0.078,5.30325,1.2,0.920561,0.37,0.458836,0.0218,0.46465,0.0205,0.0426146,0.0305,0.468941,0.0194
