"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","hrmode","u_hrmode","skew","u_skew","kurt","u_kurt","kurtcs","u_kurtcs","q95hd","u_q95hd","gini","u_gini","lasym","u_lasym","pietra","u_pietra"
"SCH2018","LDA",-2,FALSE,0.39179,0.021,0.084615,0.035,0.48557,0.024,0,0.22,0.14917,0.14,2.8664,0.22,0.13764,0.23,0.97857,0.056,0.41408,0.018,0.91262,0.042,0.2995,0.015
"SCH2018","PBE",-2,FALSE,0.18687,0.0099,0.093231,0.016,0.21256,0.0094,0,0.078,-0.11044,0.12,2.5127,0.18,-0.089637,0.22,0.41837,0.023,0.4139,0.02,0.77526,0.04,0.30877,0.017
"SCH2018","RPBE",-2,FALSE,0.18241,0.01,0.13831,0.013,0.18856,0.0076,0,0.061,0.10973,0.12,2.2494,0.16,-0.64345,0.2,0.43975,0.023,0.44998,0.02,0.83201,0.038,0.33975,0.017
"SCH2018","vdW-DF2",-2,FALSE,0.2179,0.012,-0.10672,0.017,0.25419,0.011,0,0.11,-0.17486,0.13,2.6425,0.19,-0.059188,0.27,0.55078,0.041,0.42454,0.019,0.85009,0.045,0.30677,0.016
"SCH2018","BEEF-vdW",-2,FALSE,0.1461,0.0082,-0.029487,0.013,0.18237,0.0083,0,0.046,-0.16862,0.11,2.5156,0.17,-0.088302,0.27,0.35088,0.018,0.43023,0.018,0.82851,0.047,0.32655,0.015
"SCH2018","mBEEF",-2,FALSE,0.2321,0.017,-0.2121,0.018,0.24212,0.014,0,0.068,-0.99989,0.14,3.4797,0.46,0.23825,0.32,0.73916,0.041,0.50302,0.018,0.89191,0.04,0.37182,0.016
"SCH2018","mBEEF-vdW",-2,FALSE,0.24692,0.015,-0.15379,0.021,0.2848,0.014,0,0.12,-0.55838,0.13,2.9858,0.33,0.0010874,0.29,0.71897,0.035,0.44431,0.018,0.91758,0.046,0.32193,0.015
"THA2015","M11",-2,FALSE,2.9497,0.3,-0.21719,0.41,4.5132,0.49,0,0.78,-0.74673,0.59,7.315,1.7,3.1787,0.87,10.322,1.3,0.54359,0.024,0.95898,0.047,0.40851,0.022
"THA2015","M06-2X",-2,FALSE,3.1109,0.28,0.99348,0.39,4.3625,0.45,0,1.2,-0.62156,0.51,6.5305,1.2,2.8278,0.75,10.074,1.5,0.50824,0.025,0.90689,0.049,0.36926,0.021
"THA2015","ωB97",-2,FALSE,3.1698,0.29,-1.0454,0.4,4.5208,0.42,-1.1102e-16,1.4,-0.58476,0.43,5.7263,0.81,2.1408,0.67,11.359,1.4,0.50999,0.024,1.0304,0.052,0.37616,0.021
"THA2015","LC-τHCTH",-2,FALSE,3.4827,0.27,1.7851,0.39,4.3649,0.42,-1.1102e-16,1.3,-0.47628,0.48,6.144,0.94,2.0925,0.69,10.243,1.6,0.46262,0.026,0.89942,0.054,0.33286,0.021
"THA2015","HISS",-2,FALSE,2.9711,0.28,0.65896,0.38,4.2843,0.43,-1.1102e-16,1.1,-0.55912,0.5,6.4072,1.1,2.8006,0.74,10.072,1.4,0.51509,0.024,0.91998,0.049,0.37501,0.021
"THA2015","LC-ωPBE",-2,FALSE,3.0231,0.29,-0.61561,0.4,4.481,0.43,0,0.83,-0.73851,0.43,5.9436,0.94,2.4129,0.76,11.118,1.3,0.53051,0.023,0.95145,0.05,0.38726,0.022
"THA2015","MP2",-2,FALSE,3.051,0.29,-0.84908,0.39,4.4456,0.44,-1.1102e-16,1.1,-0.085745,0.51,6.1236,0.83,2.6273,0.8,11.011,1.4,0.52011,0.024,0.97896,0.046,0.38266,0.022
"WU2015","HF",-2,FALSE,2.232,0.17,0.19953,0.22,2.9539,0.24,2.2204e-16,0.85,-0.86448,0.32,4.8087,1.2,0.45803,0.39,5.9129,0.55,0.4525,0.023,0.85175,0.046,0.33266,0.019
"WU2015","MP2",-2,FALSE,0.39157,0.026,0.073463,0.042,0.49689,0.032,-2.7756e-17,0.19,0.070321,0.21,3.2793,0.37,0.25743,0.37,1.0214,0.12,0.42997,0.023,0.81613,0.054,0.30896,0.019
"WU2015","LSDA",-2,FALSE,1.7014,0.15,-0.22362,0.21,2.4686,0.26,4.4409e-16,0.8,0.087677,0.65,7.2348,1.2,1.4976,0.77,5.6729,0.9,0.48538,0.028,0.99828,0.058,0.34276,0.024
"WU2015","PBE",-2,FALSE,1.6311,0.16,-0.10431,0.21,2.4385,0.26,-4.4409e-16,0.38,-0.13657,0.64,7.1452,1.2,1.9302,0.84,5.6112,0.9,0.51673,0.026,0.9752,0.059,0.37041,0.023
"WU2015","HCTH",-2,FALSE,1.6903,0.15,-0.1,0.21,2.4769,0.26,0,0.7,-0.097653,0.62,6.9157,1.1,1.5534,0.8,5.6438,0.89,0.49901,0.026,0.99817,0.055,0.35682,0.023
"WU2015","N12",-2,FALSE,1.9296,0.18,-1.0648,0.22,2.6778,0.26,0,0.46,-0.4796,0.52,6.1991,0.95,2.2683,0.86,7.1372,0.77,0.52856,0.022,1.0227,0.048,0.38961,0.022
"WU2015","revTPSS",-2,FALSE,1.6546,0.16,-0.77452,0.2,2.3922,0.24,-2.2204e-16,0.25,-0.42261,0.57,6.605,1,2.1019,0.92,6.2996,0.8,0.54065,0.024,0.97539,0.051,0.39597,0.022
"WU2015","tHCTH",-2,FALSE,1.7328,0.17,-0.66679,0.21,2.5305,0.26,2.2204e-16,0.47,-0.2878,0.6,6.8233,1.1,1.8901,0.84,6.4376,0.89,0.52773,0.024,0.98382,0.046,0.38353,0.022
"WU2015","M11-L",-2,FALSE,2.2728,0.21,-1.2272,0.25,3.0962,0.29,4.4409e-16,0.46,0.014244,0.54,5.8344,1.1,0.98503,0.79,7.4973,0.88,0.53408,0.021,0.88885,0.046,0.40075,0.02
"WU2015","MN12-L",-2,FALSE,2.1173,0.18,-0.52018,0.24,2.9612,0.24,0,0.68,-0.53503,0.36,4.6697,0.63,1.1217,0.66,7.2732,0.77,0.5013,0.022,0.96512,0.049,0.3653,0.02
"WU2015","PBE0",-2,FALSE,1.4087,0.13,-0.5052,0.17,2.0568,0.19,-1.1102e-16,0.22,-0.43355,0.44,5.4399,0.78,2.0461,0.7,5.1491,0.58,0.54792,0.023,0.9204,0.046,0.40179,0.021
"WU2015","mPW1PW",-2,FALSE,1.4058,0.13,-0.42439,0.17,2.0619,0.18,0,0.22,-0.51941,0.42,5.3513,0.77,2.0578,0.7,5.1118,0.57,0.54159,0.023,0.96607,0.047,0.39964,0.021
"WU2015","B3LYP",-2,FALSE,1.4178,0.14,-0.42539,0.17,2.0971,0.2,2.2204e-16,0.34,-0.48976,0.49,5.8065,0.88,1.9807,0.78,5.1829,0.63,0.53874,0.023,0.9986,0.047,0.39715,0.022
"WU2015","B3PW91",-2,FALSE,1.423,0.14,-0.45362,0.17,2.1086,0.2,0,0.28,-0.53443,0.46,5.7024,0.84,2.1846,0.74,5.304,0.62,0.54617,0.023,0.96188,0.048,0.4013,0.021
"WU2015","B97-2",-2,FALSE,1.511,0.15,-0.79418,0.17,2.146,0.2,0,0.21,-0.53733,0.44,5.5486,0.81,2.3325,0.77,5.6417,0.54,0.55181,0.021,0.94299,0.053,0.40563,0.021
"WU2015","M06",-2,FALSE,1.2701,0.11,-0.16522,0.14,1.807,0.18,2.2204e-16,0.43,0.26772,0.57,6.4159,1.2,1.1564,0.79,3.9412,0.62,0.49565,0.025,0.90668,0.049,0.35844,0.02
"WU2015","M06-2X",-2,FALSE,1.3041,0.1,-0.6782,0.13,1.6733,0.13,-2.7756e-17,0.4,-0.35297,0.33,4.2735,0.58,0.61941,0.52,4.2291,0.29,0.48739,0.022,0.99754,0.054,0.35531,0.02
"WU2015","M06-HF",-2,FALSE,1.6332,0.13,-1.19,0.15,1.9466,0.14,2.2204e-16,0.45,-0.6705,0.23,3.8174,0.52,0.6168,0.42,4.89,0.41,0.50797,0.022,0.82726,0.049,0.38566,0.019
"WU2015","SOGGA11X",-2,FALSE,1.4367,0.12,-0.49665,0.16,1.9798,0.15,0,0.39,-0.59271,0.29,4.2237,0.55,1.2502,0.56,4.9709,0.35,0.50328,0.02,0.95491,0.046,0.37216,0.019
"WU2015","tHCTHhyb",-2,FALSE,1.526,0.15,-0.59191,0.19,2.2792,0.22,0,0.18,-0.54379,0.49,5.9622,0.9,2.4526,0.83,5.8586,0.67,0.56034,0.023,0.92665,0.05,0.41118,0.021
"WU2015","BMK",-2,FALSE,1.5631,0.12,-0.42534,0.17,2.1186,0.15,2.7756e-17,0.5,-0.71809,0.23,3.8952,0.55,0.75688,0.46,5.0246,0.35,0.48683,0.022,0.86182,0.055,0.35397,0.02
"WU2015","TPSSh",-2,FALSE,1.5576,0.15,-0.72442,0.18,2.2476,0.22,0,0.18,-0.43513,0.51,6.1188,0.91,2.4002,0.85,5.866,0.65,0.54449,0.023,0.97252,0.052,0.39679,0.022
"WU2015","LC-rTPSS",-2,FALSE,1.4092,0.1,-0.85733,0.13,1.6375,0.099,-2.2204e-16,0.23,-0.088523,0.19,2.9985,0.34,0.086228,0.3,3.5213,0.13,0.46736,0.023,0.79346,0.042,0.35266,0.021
"WU2015","LC-wPBE",-2,FALSE,1.3002,0.092,-0.57533,0.13,1.5892,0.089,0,0.36,-0.059442,0.15,2.7062,0.24,0.077167,0.28,3.2761,0.13,0.45912,0.022,0.76677,0.043,0.34929,0.02
"WU2015","LC-N12",-2,FALSE,1.4483,0.1,-0.61889,0.14,1.7906,0.11,0,0.4,-0.2156,0.22,3.2168,0.49,0.10209,0.31,3.648,0.18,0.45647,0.022,0.81308,0.045,0.34175,0.02
"WU2015","LC-HCTH",-2,FALSE,1.2851,0.095,-0.2691,0.13,1.6887,0.12,-1.1102e-16,0.34,-0.34614,0.26,3.7577,0.68,0.44907,0.36,3.3437,0.24,0.46569,0.022,0.88386,0.047,0.34554,0.019
"WU2015","LC-tHCTH",-2,FALSE,1.3853,0.1,-0.070277,0.14,1.821,0.13,-3.4694e-18,0.54,-0.47767,0.27,3.9019,0.75,0.36951,0.35,3.6612,0.25,0.44928,0.022,0.91711,0.053,0.32419,0.018
"WU2015","M11",-2,FALSE,1.4901,0.1,-1.0038,0.13,1.6638,0.11,0,0.69,-0.02963,0.24,3.3079,0.39,0.099412,0.36,4.0394,0.26,0.45671,0.021,0.81246,0.05,0.33724,0.019
"WU2015","CAM-B3LYP",-2,FALSE,1.5002,0.12,-1.0066,0.14,1.8014,0.13,-1.7347e-18,0.35,-0.31673,0.26,3.77,0.43,0.82807,0.43,4.6423,0.28,0.49889,0.022,0.82538,0.05,0.36658,0.02
"WU2015","wB97XD",-2,FALSE,1.5032,0.12,-0.92564,0.15,1.833,0.13,0,0.47,-0.25783,0.26,3.6915,0.43,0.73821,0.42,4.6494,0.25,0.49103,0.022,0.79797,0.054,0.36005,0.02
"WU2015","wB97",-2,FALSE,1.4592,0.1,-0.60733,0.14,1.7694,0.097,0,0.4,-0.02014,0.15,2.6058,0.23,-0.067835,0.29,3.5242,0.14,0.44638,0.023,0.80354,0.042,0.33842,0.02
"WU2015","wB97X",-2,FALSE,1.5088,0.11,-0.938,0.14,1.7339,0.1,-2.7756e-17,0.47,-0.10717,0.17,2.9059,0.26,0.27282,0.29,3.9293,0.2,0.46218,0.023,0.74583,0.045,0.34424,0.021
"WU2015","N12-SX",-2,FALSE,1.6275,0.15,-0.95038,0.18,2.242,0.19,-1.3878e-17,0.31,-0.66981,0.36,5.0437,0.72,2.0471,0.61,5.8771,0.47,0.54883,0.022,0.896,0.064,0.40032,0.022
"WU2015","MN12-SX",-2,FALSE,1.9285,0.17,-1.3957,0.19,2.4062,0.21,-2.2204e-16,0.55,-0.44567,0.43,5.1498,0.76,1.273,0.72,6.5877,0.53,0.52237,0.021,0.96306,0.044,0.39275,0.02
"WU2015","HSE06",-2,FALSE,1.4523,0.14,-0.68835,0.17,2.0787,0.19,1.1102e-16,0.25,-0.44764,0.46,5.6685,0.83,2.0874,0.73,5.3774,0.57,0.54683,0.022,0.92549,0.056,0.39861,0.021
"WU2015","HISS",-2,FALSE,1.5409,0.13,-0.84353,0.16,2.0231,0.16,0,0.43,-0.61463,0.26,4.206,0.56,1.3569,0.5,5.1828,0.4,0.51131,0.021,0.88054,0.047,0.37904,0.019
"ZAS2019","HF",-2,FALSE,2.3749,0.028,-0.56449,0.041,3.1307,0.041,0,0.38,-0.68547,0.072,5.1281,0.26,0.34519,0.06,6.4211,0.11,0.45074,0.0038,0.88449,0.0078,0.32481,0.003
"ZAS2019","MP2",-2,FALSE,1.3326,0.013,0.2501,0.021,1.6661,0.016,0,0.25,-0.067702,0.034,3.3332,0.059,0.14486,0.067,3.2754,0.05,0.418,0.0032,0.84584,0.0075,0.30285,0.0026
"ZAS2019","SLATM_L2",-2,FALSE,1.2607,0.026,-0.010238,0.032,2.443,0.08,0,0.076,0.79971,0.54,28.515,2.7,4.4766,0.25,4.6565,0.14,0.60861,0.0056,1.0142,0.008,0.45095,0.005
"ZHA2018","PBE",-2,FALSE,0.12582,0.0064,0.045546,0.01,0.1504,0.0084,0,0.073,-0.54778,0.22,3.678,0.58,-0.17465,0.28,0.28998,0.017,0.40806,0.019,0.83941,0.039,0.29947,0.015
"ZHA2018","SCAN",-2,FALSE,0.10185,0.007,0.011459,0.0097,0.14102,0.0093,0,0.017,-0.30373,0.28,4.4101,0.64,1.4905,0.53,0.29247,0.02,0.50297,0.018,0.81344,0.038,0.37888,0.016
"Ref_NormBias","mu=0",-1,FALSE,0.78596,0.019,-0.0043665,0.031,0.98521,0.022,-0.21106,0.16,-0.0060063,0.069,2.8402,0.11,-0.073381,0.12,1.9358,0.05,0.4178,0.0079,0.82538,0.018,0.30696,0.0067
"Ref_NormBias","mu=0.5",-1,FALSE,0.90907,0.022,0.51864,0.032,1.0091,0.021,0.38382,0.3,0.0013584,0.064,2.7963,0.11,-0.047885,0.11,2.1909,0.039,0.4143,0.0084,0.83562,0.018,0.30412,0.0069
"Ref_NormBias","mu=1",-1,FALSE,1.188,0.026,1.0389,0.032,1.0043,0.024,0.86381,0.22,0.056535,0.092,3.3101,0.18,0.21715,0.14,2.7178,0.057,0.38562,0.0081,0.8149,0.018,0.27946,0.0066
"Ref_NormBias","mu=1.5",-1,FALSE,1.5348,0.029,1.4766,0.032,0.99869,0.022,1.4392,0.27,0.031434,0.08,3.0445,0.14,-0.016457,0.12,3.1059,0.08,0.33468,0.0073,0.81438,0.019,0.24179,0.0059
"Ref_NormBias","mu=2",-1,FALSE,2.0511,0.03,2.029,0.031,1.0303,0.022,1.5691,0.26,-0.037718,0.073,2.9138,0.14,-0.044219,0.11,3.7478,0.059,0.2737,0.0063,0.85053,0.018,0.19693,0.0049
"Ref_NormBias","mu=2.5",-1,FALSE,2.4649,0.031,2.4598,0.031,0.97224,0.023,2.4459,0.18,0.054027,0.082,3.1463,0.17,0.18537,0.12,4.1221,0.072,0.21949,0.0054,0.86565,0.02,0.15423,0.004
"Ref_NormBias","mu=3",-1,FALSE,3.0181,0.029,3.0168,0.029,0.97947,0.022,3.0856,0.2,-0.10393,0.075,2.9375,0.15,-0.020498,0.13,4.61,0.058,0.18274,0.0046,0.8471,0.02,0.12875,0.0035
"Ref_NormBias","mu=3.5",-1,FALSE,3.4925,0.032,3.4925,0.032,1.0455,0.022,3.426,0.22,-0.059666,0.062,2.7505,0.098,-0.058193,0.11,5.1817,0.062,0.16955,0.0041,0.86242,0.019,0.12003,0.0031
"Ref_NormBias","mu=4",-1,FALSE,3.9641,0.031,3.9641,0.031,0.97163,0.022,3.9116,0.17,-0.070885,0.078,3.1133,0.14,0.17197,0.13,5.5203,0.065,0.13759,0.0034,0.88808,0.02,0.096348,0.0025
"Ref_NormBias","mu=4.5",-1,FALSE,4.4888,0.033,4.4888,0.033,1.0395,0.022,4.5367,0.17,0.11243,0.063,2.7931,0.11,-0.073682,0.12,6.2574,0.064,0.13102,0.003,0.93032,0.019,0.09261,0.0023
"Ref_NormBias","mu=5",-1,FALSE,4.9947,0.031,4.9947,0.031,0.97973,0.024,4.961,0.2,-0.034364,0.088,3.1175,0.19,-0.053032,0.11,6.545,0.055,0.11043,0.0028,0.92067,0.021,0.078069,0.002
"Ref_Student","df=1",-1,FALSE,6.603,1.8,1.2135,1.9,58.379,23,0.14951,0.21,21.471,11,606.46,210,11.21,2.2,14.909,2.3,0.86318,0.037,1.0909,0.014,0.72295,0.05
"Ref_Student","df=2",-1,FALSE,1.4148,0.086,0.13807,0.098,3.1192,0.53,-0.099358,0.12,-2.2786,4.7,123.84,40,2.2902,0.39,4.5124,0.29,0.58122,0.021,0.97885,0.03,0.42036,0.016
"Ref_Student","df=3",-1,FALSE,1.1072,0.055,0.054768,0.064,2.0425,0.45,-0.022457,0.21,9.9333,4.9,214.16,96,1.2749,0.22,3.1672,0.14,0.50497,0.019,0.93213,0.033,0.36435,0.013
"Ref_Student","df=4",-1,FALSE,1.0299,0.034,0.017045,0.047,1.4933,0.095,-0.51166,0.23,1.5145,0.73,16.744,5,0.79183,0.2,2.8007,0.12,0.46808,0.012,0.92339,0.023,0.33598,0.0086
"Ref_Student","df=5",-1,FALSE,0.9075,0.028,0.014017,0.043,1.2801,0.086,0.176,0.26,1.1565,1.1,19.674,9.6,0.5244,0.21,2.3912,0.12,0.45664,0.012,0.86959,0.022,0.32794,0.0086
"Ref_Student","df=6",-1,FALSE,0.91334,0.024,0.03055,0.035,1.1744,0.032,0.48628,0.3,0.13346,0.12,3.8497,0.31,0.29315,0.14,2.3709,0.083,0.42583,0.008,0.91247,0.019,0.30852,0.0065
"Ref_Student","df=7",-1,FALSE,0.87544,0.022,-0.039955,0.035,1.1309,0.03,0.075845,0.26,0.030901,0.13,3.9062,0.3,0.31658,0.15,2.3114,0.088,0.43191,0.0083,0.87771,0.018,0.31169,0.0068
"Ref_Student","df=8",-1,FALSE,0.87122,0.025,0.015984,0.036,1.1653,0.039,0.12483,0.15,0.3173,0.22,5.3394,0.72,0.53455,0.17,2.3049,0.094,0.45228,0.0092,0.87722,0.017,0.32887,0.0073
"Ref_Student","df=9",-1,FALSE,0.86878,0.023,0.042616,0.036,1.1233,0.03,-0.045039,0.17,0.029496,0.13,3.9053,0.43,0.27271,0.14,2.2863,0.089,0.43552,0.0089,0.87984,0.018,0.31552,0.0073
"Ref_Student","df=10",-1,FALSE,0.85773,0.022,-0.073488,0.036,1.0933,0.03,-0.50656,0.38,-0.16786,0.13,3.8881,0.33,0.22633,0.17,2.1319,0.091,0.41783,0.0089,0.87328,0.019,0.30303,0.007
"Ref_Student","df=20",-1,FALSE,0.86537,0.02,0.075489,0.035,1.0836,0.025,-0.038103,0.16,0.029006,0.086,3.1152,0.17,-0.019001,0.12,2.1838,0.07,0.41323,0.0085,0.82569,0.018,0.29977,0.0071
"Ref_Student","df=50",-1,FALSE,0.82132,0.02,0.012152,0.032,1.0276,0.023,-0.14755,0.28,-0.017722,0.08,3.0342,0.15,-0.040583,0.11,2.0191,0.049,0.40981,0.0077,0.85191,0.018,0.29746,0.0064
"Ref_Student","df=100",-1,FALSE,0.79536,0.02,-0.049271,0.031,1.0107,0.024,-0.089987,0.14,0.15784,0.081,3.1601,0.16,0.15213,0.14,1.9814,0.059,0.42969,0.0078,0.84782,0.018,0.31751,0.0066
"Ref_StudentBias1","df=1",-1,FALSE,4.821,1.1,0.061127,1,32.9,13,0.68434,0.21,-21.679,8,567.44,200,8.9882,1.5,12.177,1.5,0.77167,0.046,1.1436,0.017,0.61693,0.053
"Ref_StudentBias1","df=2",-1,FALSE,1.6662,0.061,0.99193,0.071,2.3386,0.16,1.2115,0.34,-0.4658,0.79,19.119,3.6,2.6496,0.49,4.501,0.31,0.48286,0.013,1.0032,0.028,0.3388,0.01
"Ref_StudentBias1","df=3",-1,FALSE,1.4741,0.041,1.0009,0.051,1.6673,0.073,0.78223,0.17,-0.41569,0.35,8.8959,1.3,1.3783,0.26,3.8869,0.15,0.43036,0.0091,0.92832,0.02,0.30868,0.007
"Ref_StudentBias1","df=4",-1,FALSE,1.3673,0.038,1.0288,0.046,1.4588,0.072,0.91241,0.24,0.21149,0.5,10.278,2.3,0.85304,0.21,3.3221,0.12,0.42087,0.0097,0.87063,0.02,0.30036,0.0071
"Ref_StudentBias1","df=5",-1,FALSE,1.2632,0.033,0.98658,0.041,1.3097,0.066,0.63893,0.34,0.28578,0.62,11.378,3.3,0.9157,0.17,3.1018,0.12,0.41433,0.0098,0.87523,0.021,0.29434,0.0074
"Ref_StudentBias1","df=6",-1,FALSE,1.2629,0.03,0.98098,0.038,1.2296,0.036,1.144,0.24,0.22981,0.14,4.4245,0.33,0.73539,0.2,3.0163,0.094,0.39398,0.0084,0.88244,0.019,0.28096,0.0065
"Ref_StudentBias1","df=7",-1,FALSE,1.2682,0.03,1.0282,0.039,1.1756,0.031,0.61324,0.3,0.11261,0.11,3.7546,0.26,0.34967,0.14,2.9493,0.092,0.39206,0.008,0.85213,0.018,0.28583,0.0064
"Ref_StudentBias1","df=8",-1,FALSE,1.2329,0.027,0.95019,0.036,1.1732,0.035,0.96062,0.18,-0.31616,0.17,4.4153,0.68,0.40184,0.15,2.8934,0.083,0.38867,0.0079,0.851,0.018,0.27996,0.0063
"Ref_StudentBias1","df=9",-1,FALSE,1.2309,0.027,0.99817,0.035,1.1232,0.027,0.69496,0.23,-0.12218,0.11,3.6029,0.25,0.24387,0.14,2.8739,0.073,0.38844,0.0077,0.87019,0.019,0.28297,0.0062
"Ref_StudentBias1","df=10",-1,FALSE,1.2143,0.027,0.97243,0.035,1.1151,0.03,1.2364,0.32,-0.24491,0.099,3.5927,0.21,0.44162,0.15,2.8247,0.068,0.38838,0.0075,0.81324,0.018,0.28169,0.0063
"Ref_StudentBias1","df=20",-1,FALSE,1.2022,0.026,1.0274,0.032,1.0333,0.025,1.0495,0.15,-0.022115,0.095,3.3231,0.18,-0.035461,0.12,2.7212,0.045,0.38195,0.008,0.82046,0.018,0.27719,0.0066
"Ref_StudentBias1","df=50",-1,FALSE,1.1801,0.026,0.99442,0.032,1.0216,0.024,0.85779,0.23,-0.044889,0.081,3.0811,0.16,-0.047025,0.12,2.6648,0.088,0.37888,0.0079,0.82269,0.019,0.27734,0.0065
"Ref_StudentBias1","df=100",-1,FALSE,1.1684,0.024,0.96297,0.032,1.0198,0.026,0.98736,0.21,-0.12879,0.09,3.4677,0.17,0.49135,0.15,2.5959,0.074,0.36833,0.0077,0.83737,0.018,0.26567,0.0061
"Ref_StudentBias2","df=1",-1,FALSE,4.5539,0.77,2.5718,0.78,24.437,12,1.9978,0.098,27.788,12,842.73,350,10.68,1.7,13.5,1.6,0.60716,0.06,1.2173,0.024,0.4609,0.059
"Ref_StudentBias2","df=2",-1,FALSE,2.4767,0.17,1.7754,0.18,5.7645,2.5,2.3223,0.29,-24.203,10,697.8,290,1.8728,0.42,4.9373,0.25,0.40696,0.038,1.0341,0.067,0.2763,0.025
"Ref_StudentBias2","df=3",-1,FALSE,2.1485,0.047,2.0121,0.052,1.665,0.13,1.8986,0.24,2.0279,1.2,27.771,10,1.0783,0.25,4.3755,0.18,0.32975,0.01,0.87127,0.027,0.22718,0.0069
"Ref_StudentBias2","df=4",-1,FALSE,2.1406,0.037,1.9953,0.044,1.4422,0.056,2.3502,0.27,-0.13674,0.3,7.2664,1,1.1827,0.27,4.1225,0.16,0.30487,0.0081,0.84589,0.021,0.21219,0.0058
"Ref_StudentBias2","df=5",-1,FALSE,2.073,0.036,1.9737,0.041,1.2979,0.044,1.7881,0.29,-0.02798,0.24,5.7409,0.81,0.70249,0.21,3.9591,0.11,0.29927,0.0076,0.8279,0.021,0.20908,0.0055
"Ref_StudentBias2","df=6",-1,FALSE,2.0724,0.036,2.0093,0.04,1.2138,0.04,2.1783,0.21,-0.29803,0.28,5.2735,1.6,0.06637,0.14,4.0076,0.087,0.29965,0.0069,0.83635,0.019,0.21283,0.0053
"Ref_StudentBias2","df=7",-1,FALSE,1.9964,0.032,1.9259,0.036,1.1745,0.036,2.1487,0.14,-0.19382,0.18,4.8695,0.57,0.47838,0.19,3.9458,0.11,0.29336,0.0071,0.83504,0.022,0.20508,0.0054
"Ref_StudentBias2","df=8",-1,FALSE,2.0292,0.032,1.9491,0.036,1.17,0.039,2.1041,0.18,-0.37743,0.21,5.1154,0.91,0.4813,0.16,3.7699,0.074,0.28263,0.007,0.80999,0.02,0.19939,0.0053
"Ref_StudentBias2","df=9",-1,FALSE,2.0663,0.034,2.0226,0.037,1.1343,0.029,1.7205,0.29,0.060138,0.11,3.7717,0.27,0.38228,0.15,3.9051,0.068,0.28538,0.0072,0.85141,0.019,0.20144,0.0053
"Ref_StudentBias2","df=10",-1,FALSE,2.0162,0.034,1.9837,0.036,1.1083,0.028,1.9811,0.22,0.058648,0.11,3.4938,0.24,0.17926,0.12,3.792,0.1,0.29273,0.0072,0.80434,0.02,0.20765,0.0055
"Ref_StudentBias2","df=20",-1,FALSE,2.0369,0.031,2.0153,0.033,1.0255,0.026,1.6821,0.23,0.036006,0.11,3.5539,0.32,0.11694,0.13,3.7752,0.073,0.27174,0.0069,0.85898,0.02,0.19256,0.0051
"Ref_StudentBias2","df=50",-1,FALSE,2.0677,0.03,2.046,0.032,1.0148,0.022,2.2902,0.24,-0.03993,0.072,3.0239,0.13,0.07635,0.12,3.823,0.064,0.26646,0.0061,0.82228,0.019,0.19019,0.0048
"Ref_StudentBias2","df=100",-1,FALSE,2.0704,0.029,2.0561,0.03,0.98441,0.022,2.3496,0.23,-0.049724,0.073,2.9866,0.14,0.0012641,0.12,3.7028,0.044,0.26142,0.0065,0.81461,0.02,0.18608,0.005
"Ref_GandH","g=0.1",-1,FALSE,0.77882,0.019,0.092112,0.03,0.97853,0.022,0.24555,0.23,0.33078,0.081,3.1109,0.22,-0.0087483,0.12,1.9457,0.055,0.41726,0.0082,0.84906,0.018,0.30214,0.0068
"Ref_GandH","g=0.2",-1,FALSE,0.79808,0.019,0.097661,0.031,1.0129,0.026,-0.07027,0.28,0.58137,0.11,3.7688,0.42,-0.033699,0.11,1.9668,0.056,0.4186,0.0086,0.87885,0.019,0.30385,0.0068
"Ref_GandH","g=0.3",-1,FALSE,0.78731,0.022,0.13438,0.032,1.036,0.032,-0.099875,0.23,1.0007,0.12,4.7115,0.49,0.1606,0.14,2.0337,0.11,0.44276,0.0097,0.87654,0.021,0.31564,0.0077
"Ref_GandH","g=0.4",-1,FALSE,0.87277,0.026,0.22162,0.036,1.1517,0.037,-0.51532,0.14,1.1438,0.12,4.8152,0.61,0.24355,0.15,2.4388,0.12,0.44783,0.0093,0.89919,0.019,0.3202,0.0073
"Ref_GandH","g=0.5",-1,FALSE,0.83214,0.025,0.23864,0.036,1.1352,0.044,-0.6103,0.3,1.5454,0.17,7.1882,0.89,0.30178,0.2,2.2796,0.11,0.45468,0.011,0.92332,0.021,0.32261,0.008
"Ref_GandH","g=0.6",-1,FALSE,0.8878,0.032,0.30452,0.04,1.308,0.069,-0.7109,0.2,2.2786,0.32,12.038,3,0.85475,0.24,2.7268,0.19,0.48768,0.012,1.0064,0.022,0.34435,0.0096
"Ref_GandH","g=0.7",-1,FALSE,0.92054,0.036,0.35568,0.043,1.415,0.08,-0.64094,0.21,2.5986,0.34,14.285,3.1,1.0042,0.29,3.021,0.18,0.51365,0.012,1.0136,0.023,0.36617,0.01
"Ref_GandH","g=0.8",-1,FALSE,0.95356,0.037,0.42744,0.046,1.4251,0.072,-0.53531,0.14,2.2503,0.21,10.58,1.5,0.52355,0.22,3.3617,0.17,0.51503,0.012,1.051,0.023,0.36784,0.01
