"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","hrmode","u_hrmode","skew","u_skew","kurt","u_kurt","kurtcs","u_kurtcs","q95hd","u_q95hd","gini","u_gini","lasym","u_lasym","pietra","u_pietra"
"Ref_StudentBias1","df=2",-2,FALSE,1.368,0.061,-0.21961,0.071,2.3386,0.16,0,0.34,-0.4658,0.79,19.119,3.6,2.6496,0.49,4.3256,0.37,0.55239,0.014,0.99347,0.023,0.39981,0.011
"Ref_StudentBias1","df=3",-2,FALSE,1.152,0.039,0.21866,0.051,1.6673,0.073,0,0.17,-0.41569,0.35,8.8959,1.3,1.3783,0.26,3.4077,0.15,0.50421,0.01,0.89164,0.018,0.369,0.0083
"Ref_StudentBias1","df=4",-2,FALSE,1.0296,0.034,0.11641,0.046,1.4588,0.072,-5.5511e-17,0.24,0.21149,0.5,10.278,2.3,0.85304,0.21,2.8357,0.16,0.47417,0.011,0.93245,0.02,0.34126,0.0082
"Ref_StudentBias1","df=5",-2,FALSE,0.96167,0.03,0.34765,0.041,1.3097,0.066,0,0.34,0.28578,0.62,11.378,3.3,0.9157,0.17,2.6494,0.12,0.47272,0.011,0.92822,0.019,0.34374,0.0079
"Ref_StudentBias1","df=6",-2,FALSE,0.93081,0.025,-0.163,0.038,1.2296,0.036,0,0.24,0.22981,0.14,4.4245,0.33,0.73539,0.2,2.5516,0.1,0.46037,0.0087,0.87989,0.018,0.33761,0.0072
"Ref_StudentBias1","df=7",-2,FALSE,0.96615,0.025,0.41498,0.039,1.1756,0.031,0,0.3,0.11261,0.11,3.7546,0.26,0.34967,0.14,2.4761,0.11,0.43523,0.0088,0.84442,0.017,0.31505,0.0074
"Ref_StudentBias1","df=8",-2,FALSE,0.89535,0.024,-0.010429,0.036,1.1732,0.035,0,0.18,-0.31616,0.17,4.4153,0.68,0.40184,0.15,2.356,0.074,0.44392,0.0088,0.87802,0.018,0.32288,0.0071
"Ref_StudentBias1","df=9",-2,FALSE,0.90528,0.022,0.30321,0.035,1.1232,0.027,-5.5511e-17,0.23,-0.12218,0.11,3.6029,0.25,0.24387,0.14,2.3584,0.078,0.4356,0.0082,0.86073,0.019,0.31772,0.0069
"Ref_StudentBias1","df=10",-2,FALSE,0.88637,0.023,-0.26396,0.035,1.1151,0.03,1.1102e-16,0.32,-0.24491,0.099,3.5927,0.21,0.44162,0.15,2.248,0.084,0.43642,0.0085,0.86137,0.019,0.31716,0.0069
"Ref_StudentBias1","df=20",-2,FALSE,0.8132,0.021,-0.022071,0.032,1.0333,0.025,0,0.15,-0.022115,0.095,3.3231,0.18,-0.035461,0.12,1.9469,0.068,0.42395,0.0084,0.84942,0.019,0.30853,0.0069
"Ref_StudentBias1","df=50",-2,FALSE,0.82118,0.02,0.13663,0.032,1.0216,0.024,0,0.23,-0.044889,0.081,3.0811,0.16,-0.047025,0.12,2.0474,0.063,0.41457,0.0087,0.83046,0.02,0.30009,0.0072
"Ref_StudentBias1","df=100",-2,FALSE,0.78788,0.021,-0.024385,0.032,1.0198,0.026,0,0.21,-0.12879,0.09,3.4677,0.17,0.49135,0.15,2.1137,0.081,0.4406,0.0081,0.87823,0.019,0.32313,0.0067
"Ref_StudentBias2","df=1",-2,FALSE,3.6204,0.77,0.57405,0.78,24.437,12,0,0.098,27.788,12,842.73,350,10.68,1.7,13.362,1.7,0.76891,0.044,1.0711,0.026,0.6045,0.046
"Ref_StudentBias2","df=2",-2,FALSE,1.5258,0.18,-0.54686,0.18,5.7645,2.5,2.2204e-16,0.29,-24.203,10,697.8,290,1.8728,0.42,3.9135,0.3,0.57787,0.044,1.0298,0.048,0.41329,0.034
"Ref_StudentBias2","df=3",-2,FALSE,1.074,0.04,0.11348,0.052,1.665,0.13,0,0.24,2.0279,1.2,27.771,10,1.0783,0.25,3.096,0.15,0.49186,0.014,0.94657,0.022,0.35081,0.01
"Ref_StudentBias2","df=4",-2,FALSE,1.0623,0.033,-0.35492,0.044,1.4422,0.056,-2.2204e-16,0.27,-0.13674,0.3,7.2664,1,1.1827,0.27,3.0988,0.16,0.47464,0.0098,0.91063,0.019,0.34149,0.0079
"Ref_StudentBias2","df=5",-2,FALSE,0.96985,0.027,0.18561,0.041,1.2979,0.044,1.1102e-16,0.29,-0.02798,0.24,5.7409,0.81,0.70249,0.21,2.6377,0.12,0.45864,0.0094,0.87633,0.019,0.33182,0.0074
"Ref_StudentBias2","df=6",-2,FALSE,0.94503,0.024,-0.16901,0.04,1.2138,0.04,0,0.21,-0.29803,0.28,5.2735,1.6,0.06637,0.14,2.3158,0.074,0.43024,0.0091,0.84662,0.018,0.31196,0.0071
"Ref_StudentBias2","df=7",-2,FALSE,0.90009,0.024,-0.22282,0.036,1.1745,0.036,-2.2204e-16,0.14,-0.19382,0.18,4.8695,0.57,0.47838,0.19,2.2966,0.087,0.45128,0.0092,0.88314,0.018,0.326,0.0073
"Ref_StudentBias2","df=8",-2,FALSE,0.88506,0.025,-0.15503,0.036,1.17,0.039,0,0.18,-0.37743,0.21,5.1154,0.91,0.4813,0.16,2.38,0.12,0.45131,0.009,0.8744,0.018,0.32632,0.0072
"Ref_StudentBias2","df=9",-2,FALSE,0.90193,0.023,0.30209,0.037,1.1343,0.029,-1.1102e-16,0.29,0.060138,0.11,3.7717,0.27,0.38228,0.15,2.3772,0.091,0.44356,0.0083,0.90918,0.018,0.32465,0.0068
"Ref_StudentBias2","df=10",-2,FALSE,0.86887,0.022,0.002627,0.036,1.1083,0.028,0,0.22,0.058648,0.11,3.4938,0.24,0.17926,0.12,2.2275,0.067,0.42469,0.0087,0.8677,0.019,0.30874,0.0071
"Ref_StudentBias2","df=20",-2,FALSE,0.83922,0.021,0.33319,0.033,1.0255,0.026,-1.1102e-16,0.23,0.036006,0.11,3.5539,0.32,0.11694,0.13,2.1762,0.074,0.43341,0.0085,0.8775,0.018,0.31588,0.007
"Ref_StudentBias2","df=50",-2,FALSE,0.82853,0.019,-0.24416,0.032,1.0148,0.022,0,0.24,-0.03993,0.072,3.0239,0.13,0.07635,0.12,1.9929,0.054,0.41932,0.0082,0.8243,0.017,0.30589,0.007
"Ref_StudentBias2","df=100",-2,FALSE,0.81588,0.02,-0.29356,0.03,0.98441,0.022,2.2204e-16,0.23,-0.049724,0.073,2.9866,0.14,0.0012641,0.12,2.0418,0.087,0.41901,0.0085,0.83553,0.018,0.30472,0.007
"Ref_GandH","g=0.1",-2,FALSE,0.79255,0.018,-0.15344,0.03,0.97853,0.022,1.3878e-17,0.23,0.33078,0.081,3.1109,0.22,-0.0087483,0.12,1.9304,0.044,0.41296,0.0078,0.83715,0.018,0.30268,0.0065
"Ref_GandH","g=0.2",-2,FALSE,0.79996,0.02,0.16793,0.031,1.0129,0.026,-6.9389e-18,0.28,0.58137,0.11,3.7688,0.42,-0.033699,0.11,2.0162,0.061,0.42424,0.0088,0.86145,0.018,0.30786,0.0069
"Ref_GandH","g=0.3",-2,FALSE,0.78946,0.023,0.23426,0.032,1.036,0.032,-6.9389e-18,0.23,1.0007,0.12,4.7115,0.49,0.1606,0.14,2.1273,0.12,0.45374,0.0097,0.89463,0.019,0.32508,0.0076
"Ref_GandH","g=0.4",-2,FALSE,0.97428,0.031,0.73694,0.036,1.1517,0.037,5.5511e-17,0.14,1.1438,0.12,4.8152,0.61,0.24355,0.15,2.9541,0.12,0.49774,0.0086,0.91429,0.018,0.36746,0.0074
"Ref_GandH","g=0.5",-2,FALSE,1.002,0.031,0.84894,0.036,1.1352,0.044,0,0.3,1.5454,0.17,7.1882,0.89,0.30178,0.2,2.8899,0.11,0.4937,0.0095,0.90749,0.018,0.36131,0.0079
"Ref_GandH","g=0.6",-2,FALSE,1.1043,0.038,1.0154,0.04,1.308,0.069,-5.5511e-17,0.2,2.2786,0.32,12.038,3,0.85475,0.24,3.4377,0.19,0.52793,0.011,0.884,0.017,0.38705,0.0086
"Ref_GandH","g=0.7",-2,FALSE,1.0934,0.041,0.99662,0.043,1.415,0.08,0,0.21,2.5986,0.34,14.285,3.1,1.0042,0.29,3.662,0.18,0.55826,0.01,0.92416,0.017,0.41662,0.0088
"Ref_GandH","g=0.8",-2,FALSE,1.0837,0.043,0.96275,0.046,1.4251,0.072,0,0.14,2.2503,0.21,10.58,1.5,0.52355,0.22,3.897,0.17,0.56923,0.0095,0.89408,0.018,0.43079,0.0082
"Ref_GandH","g=0.9",-2,FALSE,1.1641,0.054,1.0793,0.056,1.7535,0.12,5.5511e-17,0.12,3.206,0.34,18.484,3.2,1.4028,0.29,4.5219,0.28,0.61868,0.011,0.9229,0.017,0.46921,0.0096
"Ref_GandH","g=1",-2,FALSE,1.3327,0.079,1.2989,0.079,2.4528,0.39,-5.5511e-17,0.096,7.9188,1.9,106.18,38,1.8873,0.45,4.5176,0.34,0.63217,0.015,0.94887,0.02,0.47221,0.012
