"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","skew","u_skew","kurt","u_kurt","kurtcs","u_kurtcs","q95hd","u_q95hd","gini","u_gini","lasym","u_lasym","pietra","u_pietra"
"HAI2018","b97",0,FALSE,0.066462,0.007,-2.0037e-19,0.0083,0.10779,0.017,-2.1447,1.1,16.197,4.9,2.1563,1.3,0.20171,0.034,0.52807,0.032,0.99785,0.05,0.38657,0.025
"HAI2018","wb97x-d",0,FALSE,0.058888,0.0063,3.1765e-18,0.0077,0.096624,0.015,-2.7793,0.77,16.356,5.3,2.9963,1.2,0.16881,0.039,0.53811,0.033,0.95725,0.049,0.3949,0.026
"HAI2018","wb97x-v",0,FALSE,0.056993,0.0051,-4.432e-19,0.0068,0.084428,0.011,-2.1913,0.71,12.434,4.4,1.272,0.83,0.15898,0.022,0.48703,0.03,0.94151,0.049,0.35666,0.022
"HAI2018","b97m-v",0,FALSE,0.10556,0.018,-3.6806e-18,0.019,0.24432,0.085,6.9096,3.7,73.891,30,2.5159,2.6,0.28755,0.078,0.58044,0.057,0.96542,0.084,0.4148,0.043
"HAI2018","wb97m-v",0,FALSE,0.064912,0.0076,-2.0919e-18,0.0091,0.11298,0.026,3.7275,2.1,34.715,14,1.5106,1.4,0.17706,0.033,0.53102,0.04,0.88686,0.071,0.3822,0.028
"HAI2018","B97-D",0,FALSE,0.102,0.01,5.3622e-18,0.012,0.1624,0.026,-2.2706,1.1,16.87,5.2,1.6197,1.2,0.27804,0.054,0.50547,0.035,0.98571,0.07,0.35866,0.026
"HAI2018","MN15-L",0,FALSE,0.13285,0.012,5.3628e-18,0.015,0.19721,0.03,1.7444,1.3,15.535,6.3,0.97624,0.83,0.3525,0.051,0.47523,0.031,0.89413,0.055,0.34418,0.022
"HAI2018","SCAN0",0,FALSE,0.068759,0.0056,1.9786e-18,0.0076,0.098621,0.0096,0.39163,0.64,6.985,1.9,1.8862,0.68,0.21827,0.025,0.49377,0.024,0.92821,0.047,0.36557,0.02
"HAI2018","LRC-wPBE",0,FALSE,0.073207,0.0072,3.0301e-18,0.0091,0.11452,0.018,-2.5272,0.86,15.834,4.5,1.3961,1.2,0.18186,0.036,0.50538,0.033,0.87034,0.054,0.3697,0.023
"HAI2018","LRC-wPBEh",0,FALSE,0.059618,0.0052,-2.5307e-18,0.0069,0.087185,0.01,-1.571,0.57,9.2253,2.5,1.2517,0.87,0.15606,0.026,0.49781,0.028,0.83671,0.046,0.36687,0.021
"HAI2018","MN12-SX",0,FALSE,0.14104,0.033,-8.4126e-18,0.034,0.43496,0.16,-8.0219,2.9,71.733,36,5.1646,5.8,0.26864,0.17,0.58365,0.09,1.1444,0.13,0.41346,0.081
"HAI2018","MVS",0,FALSE,0.11502,0.0098,-6.0092e-18,0.013,0.16523,0.016,-0.94963,0.48,6.9968,1.3,1.7475,0.81,0.33719,0.06,0.49212,0.026,0.85868,0.05,0.35884,0.021
"HAI2018","MS1",0,FALSE,0.090606,0.0081,6.8368e-18,0.01,0.13455,0.017,-1.6941,0.69,10.676,2.9,1.5304,0.94,0.25107,0.039,0.4974,0.029,0.88741,0.049,0.3629,0.021
"HAI2018","MS2",0,FALSE,0.090359,0.0081,3.0684e-18,0.01,0.13414,0.017,-1.7683,0.7,11.052,3,1.4163,0.87,0.2553,0.04,0.49049,0.03,0.90432,0.054,0.35107,0.022
"HAI2018","MVSh",0,FALSE,0.089639,0.0077,6.2508e-18,0.011,0.13129,0.017,-1.8424,0.86,12.296,4.8,1.097,0.73,0.24617,0.028,0.48634,0.03,0.90789,0.054,0.3487,0.023
"HAI2018","MS2h",0,FALSE,0.073075,0.0063,1.2023e-18,0.0082,0.10626,0.012,-1.5055,0.61,9.2733,2.4,1.3438,0.82,0.19844,0.029,0.4899,0.028,0.86324,0.051,0.35695,0.021
"HAI2018","b3p86",0,FALSE,0.0669,0.0079,4.1424e-19,0.0092,0.11834,0.021,0.038943,1.9,19.781,4.9,2.4071,1.7,0.19058,0.061,0.55483,0.037,0.95606,0.052,0.40386,0.028
"HAI2018","b3pw91",0,FALSE,0.062253,0.0069,-1.7463e-18,0.0081,0.10414,0.017,-1.5997,1.3,16.337,4.1,2.0997,1.5,0.1757,0.047,0.54642,0.034,0.90285,0.049,0.40094,0.025
"HAI2018","revPBE0",0,FALSE,0.060686,0.0054,-3.9044e-19,0.0069,0.089321,0.011,-1.3536,0.73,9.7661,2.7,1.3646,0.87,0.16712,0.024,0.49647,0.028,0.92041,0.063,0.35981,0.022
"HAI2018","pbe50",0,FALSE,0.06936,0.0057,-7.3944e-19,0.0079,0.098752,0.0079,-0.49833,0.31,4.8359,0.62,1.9278,0.64,0.21992,0.02,0.50741,0.021,0.96297,0.046,0.37443,0.02
"HAI2018","SOGGA11-X",0,FALSE,0.053812,0.0038,1.0226e-18,0.0058,0.073939,0.0056,-0.54416,0.36,4.9163,0.61,1.4006,0.54,0.16896,0.023,0.46585,0.023,0.96536,0.045,0.33801,0.02
"HAI2018","revTPSSh",0,FALSE,0.079729,0.0078,-7.6233e-20,0.0096,0.12494,0.018,-2.138,0.91,14.431,4.2,1.6685,1.1,0.23526,0.043,0.51345,0.032,0.91404,0.057,0.36853,0.024
"HAI2018","t-HCTHh",0,FALSE,0.067078,0.0073,1.4447e-18,0.0085,0.11108,0.02,-2.8299,1.2,20.317,6.6,1.9699,1.4,0.18912,0.038,0.5217,0.036,0.97536,0.05,0.38005,0.027
"HAI2018","m06-hf",0,FALSE,0.17871,0.015,-1.7262e-18,0.02,0.26024,0.032,1.3379,0.76,10.304,2.8,1.1069,0.88,0.46805,0.075,0.48158,0.029,0.86055,0.052,0.35051,0.021
"HAI2018","m11",0,FALSE,0.093167,0.012,4.2578e-18,0.014,0.17942,0.043,-5.0505,1.5,36.893,13,2.8006,2.2,0.21246,0.073,0.50781,0.051,0.99924,0.068,0.3626,0.037
"HAI2018","m08-HX",0,FALSE,0.069033,0.0052,2.2281e-18,0.0077,0.095204,0.0077,-0.49673,0.39,5.2858,1.1,1.2988,0.48,0.21117,0.018,0.47141,0.021,0.94814,0.048,0.34573,0.018
"HAI2018","revTPSS",0,FALSE,0.10724,0.01,1.0448e-18,0.013,0.1644,0.024,-2.0256,0.92,13.988,4,1.5345,1,0.30386,0.054,0.49281,0.032,0.91817,0.054,0.35346,0.023
"HAI2018","t-HCTH",0,FALSE,0.098017,0.01,2.4245e-18,0.012,0.15728,0.025,-2.1861,1.1,16.558,5,1.7995,1.2,0.29536,0.055,0.50694,0.035,1.0135,0.069,0.3573,0.028
"HAI2018","MN12-L",0,FALSE,0.16526,0.04,2.4937e-18,0.044,0.55862,0.25,-10.032,5.3,117.7,45,2.1599,4.3,0.33973,0.12,0.60156,0.092,1.12,0.15,0.42221,0.077
"HAI2018","M11-L",0,FALSE,0.11565,0.0098,2.9779e-18,0.013,0.16624,0.016,0.53849,0.51,6.4635,0.95,1.6403,0.71,0.34767,0.061,0.49676,0.025,0.89802,0.051,0.36043,0.02
"HAI2018","revPBE",0,FALSE,0.12721,0.012,-3.4808e-18,0.015,0.19639,0.027,-1.0137,1.1,12.159,2.7,1.7952,1,0.38367,0.081,0.49403,0.031,0.96871,0.055,0.35177,0.025
"HAI2018","N12",0,FALSE,0.12607,0.018,3.2291e-18,0.02,0.248,0.048,2.6918,1.6,23.37,6.6,4.6102,2.5,0.44068,0.17,0.56225,0.045,1.1123,0.06,0.40334,0.041
"HAI2018","HCTH120",0,FALSE,0.11014,0.011,-1.3123e-18,0.014,0.17707,0.025,-1.2666,1.1,13.691,3.7,2.418,1.2,0.35051,0.079,0.51893,0.032,1.005,0.057,0.37311,0.026
"HAI2018","BP86",0,FALSE,0.12506,0.013,3.9801e-18,0.016,0.20543,0.034,-0.15704,1.7,17.234,4,1.6737,1.2,0.33911,0.094,0.50743,0.036,1.006,0.061,0.36279,0.027
"HAI2018","SVWN1RPA",0,FALSE,0.15376,0.017,6.2814e-20,0.021,0.25831,0.046,1.1157,1.8,20.541,6.2,1.716,1.3,0.42575,0.12,0.5102,0.038,0.96249,0.06,0.36457,0.028
"HAI2018","SPZ81",0,FALSE,0.15994,0.017,-1.683e-18,0.021,0.26484,0.046,1.1678,1.8,20.054,6.1,1.5974,1.2,0.43896,0.12,0.50252,0.038,0.95927,0.059,0.35762,0.028
"HAI2018","wB97",0,FALSE,0.067621,0.0071,-2.7734e-19,0.0091,0.11094,0.02,-2.9399,1.2,21.511,8,1.8173,1.2,0.20237,0.043,0.51379,0.036,0.93594,0.058,0.36769,0.027
"HAI2018","wB97X",0,FALSE,0.062401,0.0068,-9.1261e-19,0.0086,0.10449,0.02,-3.2275,1.3,24.102,9.2,1.9676,1.3,0.17704,0.039,0.52549,0.038,0.98623,0.071,0.37332,0.028
"HAI2018","wB97X-D3",0,FALSE,0.060059,0.0066,2.0897e-18,0.0081,0.1003,0.019,-3.4012,1.1,22.97,8.8,2.5998,1.3,0.16981,0.036,0.528,0.037,0.93617,0.051,0.38108,0.028
"HAI2018","wB97XrV",0,FALSE,0.056972,0.0051,7.0752e-18,0.0068,0.083899,0.011,-2.114,0.68,11.789,4,1.2556,0.8,0.15872,0.022,0.48531,0.029,0.94339,0.049,0.35542,0.022
"HAI2018","wB97MrV",0,FALSE,0.065099,0.0077,-6.0613e-19,0.0091,0.11382,0.026,3.7971,2.1,35.34,14,1.5379,1.4,0.17775,0.033,0.53167,0.04,0.88742,0.07,0.38261,0.028
"HAI2018","camb3lyp",0,FALSE,0.063471,0.0061,3.0128e-19,0.0081,0.10009,0.012,0.58381,0.92,10.341,2,2.9051,1.1,0.19846,0.039,0.54156,0.027,0.89473,0.047,0.4038,0.022
"HAI2018","M05",0,FALSE,0.065505,0.0055,-2.4062e-18,0.0074,0.094209,0.0087,-0.026534,0.53,6.261,0.93,1.8034,0.79,0.20449,0.033,0.49633,0.023,0.91682,0.046,0.36351,0.02
"HAI2018","M05-2X",0,FALSE,0.071548,0.0056,-3.4702e-18,0.0078,0.09991,0.008,-0.18205,0.4,5.1152,0.9,1.4836,0.63,0.21713,0.025,0.48974,0.022,0.92033,0.051,0.36532,0.018
"HAI2018","M08-SO",0,FALSE,0.072991,0.0077,3.545e-18,0.0097,0.11928,0.024,2.8712,1.8,26.257,11,2.0184,1.1,0.22928,0.023,0.50971,0.035,0.95604,0.054,0.37238,0.026
"HAI2018","wM05-D",0,FALSE,0.060416,0.0059,1.2642e-19,0.0078,0.094462,0.015,-2.669,0.84,16.228,5.8,2.343,1.1,0.16461,0.031,0.50478,0.033,0.94359,0.051,0.36572,0.024
"HAI2018","wM06-D3",0,FALSE,0.057514,0.0057,1.0192e-18,0.0076,0.093379,0.013,0.75272,1.5,15.706,5.5,2.2937,1.1,0.18443,0.035,0.53654,0.032,0.9703,0.05,0.38827,0.026
"HAI2018","N12-SX",0,FALSE,0.070942,0.0063,3.0302e-18,0.0081,0.10451,0.013,-0.81171,0.89,10.174,2.4,1.0958,0.93,0.18699,0.047,0.47984,0.031,0.9223,0.056,0.34573,0.022
"HAI2018","HFLYP",0,FALSE,0.18135,0.014,2.0767e-18,0.02,0.2542,0.018,-0.15776,0.21,3.9363,0.39,2.3078,0.53,0.57415,0.031,0.50349,0.017,0.94498,0.058,0.38754,0.017
"HAI2018","HSEHJS",0,FALSE,0.063801,0.0067,2.3757e-18,0.0081,0.10356,0.015,0.046545,1.4,14.651,3.5,1.7219,1.2,0.17661,0.043,0.53377,0.032,0.94783,0.06,0.38701,0.025
"HAI2018","B97-1",0,FALSE,0.064896,0.0067,-2.0741e-18,0.008,0.10446,0.016,-2.0456,1.1,15.492,4.6,2.1643,1.3,0.20076,0.032,0.52664,0.032,0.98632,0.05,0.38458,0.025
"HAI2018","B97-2",0,FALSE,0.05983,0.0061,3.3639e-18,0.0073,0.095248,0.016,-2.6109,1,17.655,5.5,1.8252,1.2,0.16946,0.028,0.50334,0.035,0.92221,0.056,0.3628,0.025
"HAI2018","BMK",0,FALSE,0.056535,0.0086,1.2929e-18,0.01,0.12813,0.042,6.5126,3.9,70.903,29,2.2381,2.3,0.15927,0.038,0.57732,0.055,0.95936,0.078,0.41087,0.041
"HAI2018","mBEEF",0,FALSE,0.078981,0.0078,-7.5787e-20,0.0097,0.12504,0.018,-1.7631,1,13.794,3.8,1.8959,1.2,0.22358,0.047,0.52653,0.032,0.88055,0.05,0.38258,0.024
"HAI2018","PW6B95",0,FALSE,0.061894,0.0077,-4.9801e-19,0.009,0.11213,0.024,2.0722,2.3,28.479,9.8,2.1493,1.6,0.1705,0.051,0.53738,0.041,0.98044,0.06,0.38681,0.032
"HAI2018","PWB6K",0,FALSE,0.062767,0.0053,1.1314e-18,0.0072,0.090583,0.0096,0.47569,0.73,7.692,2.5,1.7596,0.68,0.19321,0.019,0.49933,0.024,0.94449,0.047,0.3697,0.02
"HAI2018","GAM",0,FALSE,0.11336,0.012,-2.3983e-18,0.015,0.18911,0.026,-0.24428,1.1,12.451,2.5,2.9686,1.3,0.41058,0.11,0.54327,0.033,0.99201,0.059,0.38781,0.028
"HAI2018","B97MrV",0,FALSE,0.10578,0.018,2.5469e-18,0.019,0.24552,0.086,6.9364,3.7,74.175,30,2.5095,2.6,0.28814,0.079,0.58149,0.057,0.96471,0.084,0.41527,0.044
"HAI2018","VV10",0,FALSE,0.12375,0.014,4.6747e-19,0.017,0.21576,0.038,0.96762,1.9,20.55,6,2.6265,1.4,0.37891,0.098,0.54095,0.036,0.98839,0.05,0.39281,0.028
"HAI2018","SOGGA",0,FALSE,0.147,0.014,5.4717e-18,0.017,0.2219,0.03,-0.55706,1.1,12.155,2.4,1.1287,0.92,0.4077,0.1,0.47058,0.033,0.94636,0.069,0.32932,0.024
"HAI2018","SOGGA11",0,FALSE,0.23106,0.027,-3.521e-18,0.033,0.42008,0.055,0.86811,1.1,12.35,2.7,5.5728,1.6,1.1112,0.25,0.58372,0.032,1.0626,0.064,0.41941,0.032
"HAI2018","revM06-L",0,FALSE,0.12444,0.011,9.4732e-18,0.015,0.18763,0.023,-1.7518,0.6,10.2,2.9,1.7917,0.83,0.36351,0.064,0.51525,0.029,0.96202,0.06,0.37125,0.023
"HAI2018","rCAM-B3LYP",0,FALSE,0.073563,0.0056,1.6561e-18,0.0083,0.10208,0.008,0.016569,0.42,5.0541,1.1,1.6299,0.58,0.21796,0.017,0.48238,0.02,0.93792,0.049,0.36618,0.017
"HAI2018","CAM-QTP00",0,FALSE,0.10122,0.0076,1.8096e-18,0.011,0.13972,0.0098,-0.42995,0.22,4.0554,0.43,1.9638,0.51,0.31674,0.021,0.48615,0.019,0.94775,0.045,0.3665,0.018
"HAI2018","CAM-QTP01",0,FALSE,0.068587,0.0053,-2.8969e-19,0.0078,0.096362,0.0079,0.12252,0.48,5.517,1.3,1.8237,0.63,0.20531,0.018,0.48966,0.02,0.92262,0.044,0.37149,0.018
"HAI2018","wB97X-2(TQZ)",0,FALSE,0.044744,0.0048,-1.137e-18,0.0062,0.074472,0.01,-1.876,0.79,12.79,3.8,4.1526,1.3,0.16554,0.026,0.57551,0.028,0.88776,0.046,0.42552,0.024
"HAI2018","B2PLYP",0,FALSE,0.053904,0.006,-6.5623e-19,0.0075,0.092954,0.015,2.2091,1.3,18.884,6.6,3.6395,1.4,0.19717,0.038,0.55662,0.033,0.95471,0.05,0.40577,0.027
"HAI2018","B2GPPLYP",0,FALSE,0.038462,0.0044,-1.4508e-18,0.0055,0.068042,0.0098,1.4214,1.2,14.773,3.4,4.2138,1.6,0.14094,0.033,0.59243,0.03,0.94028,0.048,0.43773,0.025
"HAI2018","PTPSS-D3",0,FALSE,0.048588,0.0044,2.8977e-19,0.0057,0.073061,0.0076,-0.16085,0.62,7.5534,1.1,2.4962,0.86,0.17254,0.031,0.5123,0.026,0.91322,0.057,0.36782,0.022
"HAI2018","DSD-PBEPBE-D3",0,FALSE,0.037748,0.0037,2.0869e-18,0.0048,0.058927,0.0073,-0.31538,0.9,10.123,2.3,2.6144,1,0.12627,0.022,0.52788,0.028,0.9782,0.046,0.38755,0.024
"HAI2018","DSD-PBEP86-D3",0,FALSE,0.037562,0.0039,-1.0125e-18,0.0049,0.060313,0.0074,-0.11724,0.9,10.024,2.2,3.3677,1.2,0.13492,0.026,0.55157,0.028,0.97497,0.047,0.40782,0.024
"HAI2018","PWPB95-D3",0,FALSE,0.041219,0.0046,-1.1488e-18,0.0055,0.070121,0.01,0.80968,1.3,14.886,4.1,3.6961,1.5,0.15346,0.036,0.54924,0.032,0.97519,0.049,0.39906,0.027
"HAI2018","XYG3",0,FALSE,0.042983,0.0049,3.6736e-19,0.0059,0.073289,0.009,1.4108,0.72,9.8774,1.9,6.2805,1.6,0.18656,0.035,0.57758,0.027,1.0113,0.047,0.42637,0.026
"HAI2018","XYGJ-OS",0,FALSE,0.044036,0.0044,6.7954e-19,0.0055,0.069932,0.0079,1.0717,0.69,8.7853,1.5,4.5872,1.5,0.16576,0.031,0.54008,0.026,1.008,0.045,0.39805,0.023
"NAR2019","G4MP2",0,FALSE,0.79155,0.033,-1.7823e-17,0.048,1.0567,0.046,-0.34753,0.22,4.4332,0.72,0.93653,0.26,2.2074,0.09,0.46039,0.012,0.88252,0.032,0.3422,0.01
"NAR2019","B3LYP",0,FALSE,2.562,0.12,1.0159e-17,0.17,3.6745,0.32,1.9095,0.82,15.445,6.5,0.92402,0.3,6.9301,0.56,0.46658,0.017,0.89761,0.029,0.33452,0.012
"NAR2019","M06-2X",0,FALSE,2.6979,0.1,-9.3974e-17,0.17,3.4561,0.2,1.242,0.42,7.1166,2.7,-0.20508,0.18,6.164,0.46,0.39548,0.014,0.85053,0.029,0.28314,0.01
"NAR2019","wB97X-D",0,FALSE,1.8682,0.087,3.5008e-17,0.13,2.654,0.25,2.13,0.93,17.66,7.7,0.53333,0.23,4.8642,0.31,0.44759,0.018,0.92098,0.036,0.31928,0.013
"PER2018","B3LYP",0,FALSE,0.95868,0.078,1.0953e-17,0.1,1.5103,0.12,1.614,0.3,7.2574,1.1,4.9254,0.96,3.7304,0.47,0.55994,0.018,0.98438,0.038,0.41643,0.017
"PER2018","B97-1",0,FALSE,0.69037,0.052,-1.9359e-18,0.069,1.0514,0.082,0.25805,0.39,6.6806,0.75,3.475,0.72,2.6933,0.31,0.52448,0.019,1.0429,0.039,0.39238,0.018
"PER2018","BH&HLYP",0,FALSE,2.6289,0.15,-2.2153e-17,0.23,3.4953,0.24,1.3889,0.25,5.6335,1.1,0.60202,0.48,7.1376,0.6,0.42748,0.02,1.0231,0.046,0.30323,0.017
"PER2018","BLYP",0,FALSE,1.4727,0.11,-4.5965e-17,0.14,2.2323,0.17,-1.2904,0.27,6.5931,0.87,3.4699,0.78,5.4169,0.64,0.53105,0.02,1.07,0.039,0.38845,0.02
"PER2018","CAM-B3LYP",0,FALSE,1.0513,0.074,-3.01e-17,0.1,1.5431,0.12,1.7781,0.26,6.611,1.1,5.1012,1.3,3.7034,0.39,0.48616,0.02,1.1303,0.038,0.35966,0.019
"PER2018","LC-ωPBE",0,FALSE,1.145,0.078,1.8854e-17,0.11,1.6697,0.14,1.7247,0.35,8.0118,1.8,2.8174,0.82,3.8691,0.45,0.4739,0.022,1.0526,0.04,0.34444,0.019
"PER2018","PBE",0,FALSE,1.8871,0.12,-1.0238e-16,0.17,2.6678,0.2,-1.335,0.23,6.041,0.86,1.9695,0.52,5.7154,0.65,0.48075,0.02,1.0184,0.04,0.34622,0.017
"PER2018","PBE0",0,FALSE,0.99075,0.068,-5.5621e-17,0.096,1.442,0.12,1.7744,0.21,7.1871,1,2.994,0.86,3.0876,0.48,0.49309,0.021,0.91575,0.038,0.36358,0.017
"PER2018","PW86PBE",0,FALSE,1.6681,0.12,3.9315e-17,0.16,2.4625,0.2,-1.4858,0.27,7.0637,1.1,2.6844,0.59,5.9467,0.75,0.50238,0.022,1.0525,0.042,0.36406,0.02
"SCH2018","LDA",0,FALSE,0.38985,0.02,-1.7029e-17,0.035,0.48557,0.024,0.14917,0.14,2.8664,0.22,0.13764,0.23,0.97468,0.066,0.40332,0.016,0.88081,0.041,0.29341,0.014
"SCH2018","PBE",0,FALSE,0.17241,0.0089,3.177e-18,0.016,0.21256,0.0094,-0.11044,0.12,2.5127,0.18,-0.089637,0.22,0.41594,0.015,0.40136,0.017,0.88265,0.048,0.29985,0.014
"SCH2018","RPBE",0,FALSE,0.15861,0.0071,1.8786e-19,0.013,0.18856,0.0076,0.10973,0.12,2.2494,0.16,-0.64345,0.2,0.3488,0.021,0.35976,0.018,0.80754,0.043,0.26003,0.015
"SCH2018","vdW-DF2",0,FALSE,0.20672,0.01,2.6309e-18,0.017,0.25419,0.011,-0.17486,0.13,2.6425,0.19,-0.059188,0.27,0.5115,0.038,0.39376,0.018,0.85718,0.04,0.29154,0.015
"SCH2018","BEEF-vdW",0,FALSE,0.14603,0.0079,-3.4025e-18,0.013,0.18237,0.0083,-0.16862,0.11,2.5156,0.17,-0.088302,0.27,0.34096,0.0098,0.4175,0.017,0.81164,0.039,0.31269,0.015
"SCH2018","mBEEF",0,FALSE,0.18769,0.011,4.4883e-19,0.018,0.24212,0.014,-0.99989,0.14,3.4797,0.46,0.23825,0.32,0.52794,0.038,0.43076,0.018,0.8764,0.043,0.30889,0.016
"SCH2018","mBEEF-vdW",0,FALSE,0.22424,0.012,1.6791e-19,0.021,0.2848,0.014,-0.55838,0.13,2.9858,0.33,0.0010874,0.29,0.57799,0.025,0.42761,0.019,0.84086,0.043,0.30976,0.016
"THA2015","M11",0,FALSE,0.029536,0.0029,-1.9691e-19,0.0041,0.045132,0.0049,-0.74673,0.59,7.315,1.7,3.1787,0.87,0.10254,0.014,0.54435,0.024,0.98522,0.046,0.40766,0.022
"THA2015","M06-2X",0,FALSE,0.029152,0.0028,-5.8103e-19,0.0039,0.043625,0.0045,-0.62156,0.51,6.5305,1.2,2.8278,0.75,0.10143,0.013,0.52145,0.023,1.0357,0.046,0.38922,0.022
"THA2015","ωB97",0,FALSE,0.031587,0.0028,-2.2859e-19,0.004,0.045208,0.0042,-0.58476,0.43,5.7263,0.81,2.1408,0.67,0.11095,0.014,0.48991,0.023,0.93279,0.059,0.35174,0.021
"THA2015","LC-τHCTH",0,FALSE,0.029989,0.0027,-2.8483e-19,0.0039,0.043649,0.0042,-0.47628,0.48,6.144,0.94,2.0925,0.69,0.1057,0.015,0.50199,0.024,0.93372,0.057,0.36296,0.021
"THA2015","HISS",0,FALSE,0.028848,0.0028,-3.4333e-20,0.0038,0.042843,0.0043,-0.55912,0.5,6.4072,1.1,2.8006,0.74,0.10229,0.013,0.51505,0.023,0.9554,0.055,0.37875,0.021
"THA2015","LC-ωPBE",0,FALSE,0.030672,0.0028,-4.7057e-19,0.004,0.04481,0.0043,-0.73851,0.43,5.9436,0.94,2.4129,0.76,0.10974,0.014,0.51117,0.023,0.9112,0.063,0.36831,0.021
"THA2015","MP2",0,FALSE,0.030343,0.0028,3.9125e-19,0.0039,0.044456,0.0044,-0.085745,0.51,6.1236,0.83,2.6273,0.8,0.10889,0.016,0.50337,0.023,1.0199,0.052,0.36785,0.022
"WU2015","HF",0,FALSE,0.022253,0.0017,-1.1537e-18,0.0022,0.029539,0.0024,-0.86448,0.32,4.8087,1.2,0.45803,0.39,0.060175,0.0058,0.44706,0.023,0.88874,0.047,0.32675,0.018
"WU2015","MP2",0,FALSE,0.0038951,0.00026,1.2188e-19,0.00042,0.0049689,0.00032,0.070321,0.21,3.2793,0.37,0.25743,0.37,0.0099892,0.0011,0.42385,0.022,0.90213,0.05,0.30944,0.018
"WU2015","LSDA",0,FALSE,0.017093,0.0015,1.2347e-19,0.0021,0.024686,0.0026,0.087677,0.65,7.2348,1.2,1.4976,0.77,0.054658,0.0089,0.47781,0.027,1.0307,0.061,0.3403,0.023
"WU2015","PBE",0,FALSE,0.016449,0.0015,5.8949e-19,0.0021,0.024385,0.0026,-0.13657,0.64,7.1452,1.2,1.9302,0.84,0.05512,0.009,0.50782,0.026,0.91929,0.057,0.36507,0.023
"WU2015","HCTH",0,FALSE,0.016979,0.0015,-2.5871e-19,0.0021,0.024769,0.0026,-0.097653,0.62,6.9157,1.1,1.5534,0.8,0.055517,0.0088,0.49573,0.027,0.99633,0.06,0.35324,0.023
"WU2015","N12",0,FALSE,0.018272,0.0017,4.1531e-19,0.0022,0.026778,0.0026,-0.4796,0.52,6.1991,0.95,2.2683,0.86,0.062286,0.0094,0.51052,0.024,0.91082,0.051,0.37137,0.021
"WU2015","revTPSS",0,FALSE,0.016196,0.0015,1.015e-19,0.002,0.023922,0.0024,-0.42261,0.57,6.605,1,2.1019,0.92,0.056013,0.0087,0.51151,0.025,0.85674,0.054,0.36942,0.022
"WU2015","tHCTH",0,FALSE,0.017176,0.0016,2.1665e-19,0.0021,0.025305,0.0026,-0.2878,0.6,6.8233,1.1,1.8901,0.84,0.058168,0.0095,0.50567,0.026,0.96577,0.06,0.36166,0.022
"WU2015","M11-L",0,FALSE,0.022556,0.0018,-3.5349e-19,0.0025,0.030962,0.0029,0.014244,0.54,5.8344,1.1,0.98503,0.79,0.062898,0.01,0.45734,0.025,0.97327,0.05,0.33092,0.021
"WU2015","MN12-L",0,FALSE,0.02164,0.0017,1.2735e-19,0.0024,0.029612,0.0024,-0.53503,0.36,4.6697,0.63,1.1217,0.66,0.068149,0.0082,0.46935,0.023,0.84315,0.053,0.33765,0.02
"WU2015","PBE0",0,FALSE,0.014538,0.0012,5.6033e-20,0.0017,0.020568,0.0019,-0.43355,0.44,5.4399,0.78,2.0461,0.7,0.047084,0.0065,0.48078,0.02,1.0158,0.043,0.36015,0.019
"WU2015","mPW1PW",0,FALSE,0.014595,0.0012,-9.7765e-20,0.0017,0.020619,0.0018,-0.51941,0.42,5.3513,0.77,2.0578,0.7,0.047449,0.0064,0.48032,0.02,1.036,0.045,0.35971,0.019
"WU2015","B3LYP",0,FALSE,0.014578,0.0013,2.6755e-19,0.0017,0.020971,0.002,-0.48976,0.49,5.8065,0.88,1.9807,0.78,0.047918,0.0069,0.49614,0.022,0.96259,0.046,0.36372,0.02
"WU2015","B3PW91",0,FALSE,0.014686,0.0013,-4.5354e-19,0.0017,0.021086,0.002,-0.53443,0.46,5.7024,0.84,2.1846,0.74,0.049214,0.007,0.49132,0.021,0.99919,0.045,0.36569,0.02
"WU2015","B97-2",0,FALSE,0.015002,0.0013,-3.3414e-19,0.0017,0.02146,0.002,-0.53733,0.44,5.5486,0.81,2.3325,0.77,0.049728,0.007,0.49118,0.02,0.97787,0.044,0.36742,0.018
"WU2015","M06",0,FALSE,0.012793,0.0011,4.3877e-19,0.0014,0.01807,0.0018,0.26772,0.57,6.4159,1.2,1.1564,0.79,0.037957,0.0061,0.48503,0.026,0.87142,0.051,0.34887,0.02
"WU2015","M06-2X",0,FALSE,0.012609,0.00093,-2.6156e-19,0.0013,0.016733,0.0013,-0.35297,0.33,4.2735,0.58,0.61941,0.52,0.03603,0.0041,0.4442,0.022,0.90883,0.054,0.32088,0.018
"WU2015","M06-HF",0,FALSE,0.015065,0.001,-3.797e-21,0.0015,0.019466,0.0014,-0.6705,0.23,3.8174,0.52,0.6168,0.42,0.040886,0.0041,0.42122,0.021,0.89338,0.053,0.30065,0.018
"WU2015","SOGGA11X",0,FALSE,0.014573,0.0011,4.9313e-19,0.0016,0.019798,0.0015,-0.59271,0.29,4.2237,0.55,1.2502,0.56,0.045369,0.004,0.46911,0.021,0.92622,0.049,0.34404,0.018
"WU2015","tHCTHhyb",0,FALSE,0.015654,0.0014,-4.2962e-19,0.0019,0.022792,0.0022,-0.54379,0.49,5.9622,0.9,2.4526,0.83,0.053589,0.0077,0.50152,0.021,0.97171,0.044,0.3735,0.019
