"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","skew","u_skew","kurt","u_kurt","kurtcs","u_kurtcs","q95hd","u_q95hd","gini","u_gini","lasym","u_lasym","pietra","u_pietra"
"Ref_StudentBias1","df=4",-1,FALSE,1.3673,0.038,1.0288,0.046,1.4588,0.072,0.21149,0.5,10.278,2.3,0.85304,0.21,3.3221,0.12,0.42087,0.0097,0.87063,0.02,0.30036,0.0071
"Ref_StudentBias1","df=5",-1,FALSE,1.2632,0.033,0.98658,0.041,1.3097,0.066,0.28578,0.62,11.378,3.3,0.9157,0.17,3.1018,0.12,0.41433,0.0098,0.87523,0.021,0.29434,0.0074
"Ref_StudentBias1","df=6",-1,FALSE,1.2629,0.03,0.98098,0.038,1.2296,0.036,0.22981,0.14,4.4245,0.33,0.73539,0.2,3.0163,0.094,0.39398,0.0084,0.88244,0.019,0.28096,0.0065
"Ref_StudentBias1","df=7",-1,FALSE,1.2682,0.03,1.0282,0.039,1.1756,0.031,0.11261,0.11,3.7546,0.26,0.34967,0.14,2.9493,0.092,0.39206,0.008,0.85213,0.018,0.28583,0.0064
"Ref_StudentBias1","df=8",-1,FALSE,1.2329,0.027,0.95019,0.036,1.1732,0.035,-0.31616,0.17,4.4153,0.68,0.40184,0.15,2.8934,0.083,0.38867,0.0079,0.851,0.018,0.27996,0.0063
"Ref_StudentBias1","df=9",-1,FALSE,1.2309,0.027,0.99817,0.035,1.1232,0.027,-0.12218,0.11,3.6029,0.25,0.24387,0.14,2.8739,0.073,0.38844,0.0077,0.87019,0.019,0.28297,0.0062
"Ref_StudentBias1","df=10",-1,FALSE,1.2143,0.027,0.97243,0.035,1.1151,0.03,-0.24491,0.099,3.5927,0.21,0.44162,0.15,2.8247,0.068,0.38838,0.0075,0.81324,0.018,0.28169,0.0063
"Ref_StudentBias1","df=20",-1,FALSE,1.2022,0.026,1.0274,0.032,1.0333,0.025,-0.022115,0.095,3.3231,0.18,-0.035461,0.12,2.7212,0.045,0.38195,0.008,0.82046,0.018,0.27719,0.0066
"Ref_StudentBias1","df=50",-1,FALSE,1.1801,0.026,0.99442,0.032,1.0216,0.024,-0.044889,0.081,3.0811,0.16,-0.047025,0.12,2.6648,0.088,0.37888,0.0079,0.82269,0.019,0.27734,0.0065
"Ref_StudentBias1","df=100",-1,FALSE,1.1684,0.024,0.96297,0.032,1.0198,0.026,-0.12879,0.09,3.4677,0.17,0.49135,0.15,2.5959,0.074,0.36833,0.0077,0.83737,0.018,0.26567,0.0061
"Ref_StudentBias2","df=1",-1,FALSE,4.5539,0.77,2.5718,0.78,24.437,12,27.788,12,842.73,350,10.68,1.7,13.5,1.6,0.60716,0.06,1.2173,0.024,0.4609,0.059
"Ref_StudentBias2","df=2",-1,FALSE,2.4767,0.17,1.7754,0.18,5.7645,2.5,-24.203,10,697.8,290,1.8728,0.42,4.9373,0.25,0.40696,0.038,1.0341,0.067,0.2763,0.025
"Ref_StudentBias2","df=3",-1,FALSE,2.1485,0.047,2.0121,0.052,1.665,0.13,2.0279,1.2,27.771,10,1.0783,0.25,4.3755,0.18,0.32975,0.01,0.87127,0.027,0.22718,0.0069
"Ref_StudentBias2","df=4",-1,FALSE,2.1406,0.037,1.9953,0.044,1.4422,0.056,-0.13674,0.3,7.2664,1,1.1827,0.27,4.1225,0.16,0.30487,0.0081,0.84589,0.021,0.21219,0.0058
"Ref_StudentBias2","df=5",-1,FALSE,2.073,0.036,1.9737,0.041,1.2979,0.044,-0.02798,0.24,5.7409,0.81,0.70249,0.21,3.9591,0.11,0.29927,0.0076,0.8279,0.021,0.20908,0.0055
"Ref_StudentBias2","df=6",-1,FALSE,2.0724,0.036,2.0093,0.04,1.2138,0.04,-0.29803,0.28,5.2735,1.6,0.06637,0.14,4.0076,0.087,0.29965,0.0069,0.83635,0.019,0.21283,0.0053
"Ref_StudentBias2","df=7",-1,FALSE,1.9964,0.032,1.9259,0.036,1.1745,0.036,-0.19382,0.18,4.8695,0.57,0.47838,0.19,3.9458,0.11,0.29336,0.0071,0.83504,0.022,0.20508,0.0054
"Ref_StudentBias2","df=8",-1,FALSE,2.0292,0.032,1.9491,0.036,1.17,0.039,-0.37743,0.21,5.1154,0.91,0.4813,0.16,3.7699,0.074,0.28263,0.007,0.80999,0.02,0.19939,0.0053
"Ref_StudentBias2","df=9",-1,FALSE,2.0663,0.034,2.0226,0.037,1.1343,0.029,0.060138,0.11,3.7717,0.27,0.38228,0.15,3.9051,0.068,0.28538,0.0072,0.85141,0.019,0.20144,0.0053
"Ref_StudentBias2","df=10",-1,FALSE,2.0162,0.034,1.9837,0.036,1.1083,0.028,0.058648,0.11,3.4938,0.24,0.17926,0.12,3.792,0.1,0.29273,0.0072,0.80434,0.02,0.20765,0.0055
"Ref_StudentBias2","df=20",-1,FALSE,2.0369,0.031,2.0153,0.033,1.0255,0.026,0.036006,0.11,3.5539,0.32,0.11694,0.13,3.7752,0.073,0.27174,0.0069,0.85898,0.02,0.19256,0.0051
"Ref_StudentBias2","df=50",-1,FALSE,2.0677,0.03,2.046,0.032,1.0148,0.022,-0.03993,0.072,3.0239,0.13,0.07635,0.12,3.823,0.064,0.26646,0.0061,0.82228,0.019,0.19019,0.0048
"Ref_StudentBias2","df=100",-1,FALSE,2.0704,0.029,2.0561,0.03,0.98441,0.022,-0.049724,0.073,2.9866,0.14,0.0012641,0.12,3.7028,0.044,0.26142,0.0065,0.81461,0.02,0.18608,0.005
"Ref_GandH","g=0.1",-1,FALSE,0.77882,0.019,0.092112,0.03,0.97853,0.022,0.33078,0.081,3.1109,0.22,-0.0087483,0.12,1.9457,0.055,0.41726,0.0082,0.84906,0.018,0.30214,0.0068
"Ref_GandH","g=0.2",-1,FALSE,0.79808,0.019,0.097661,0.031,1.0129,0.026,0.58137,0.11,3.7688,0.42,-0.033699,0.11,1.9668,0.056,0.4186,0.0086,0.87885,0.019,0.30385,0.0068
"Ref_GandH","g=0.3",-1,FALSE,0.78731,0.022,0.13438,0.032,1.036,0.032,1.0007,0.12,4.7115,0.49,0.1606,0.14,2.0337,0.11,0.44276,0.0097,0.87654,0.021,0.31564,0.0077
"Ref_GandH","g=0.4",-1,FALSE,0.87277,0.026,0.22162,0.036,1.1517,0.037,1.1438,0.12,4.8152,0.61,0.24355,0.15,2.4388,0.12,0.44783,0.0093,0.89919,0.019,0.3202,0.0073
"Ref_GandH","g=0.5",-1,FALSE,0.83214,0.025,0.23864,0.036,1.1352,0.044,1.5454,0.17,7.1882,0.89,0.30178,0.2,2.2796,0.11,0.45468,0.011,0.92332,0.021,0.32261,0.008
"Ref_GandH","g=0.6",-1,FALSE,0.8878,0.032,0.30452,0.04,1.308,0.069,2.2786,0.32,12.038,3,0.85475,0.24,2.7268,0.19,0.48768,0.012,1.0064,0.022,0.34435,0.0096
"Ref_GandH","g=0.7",-1,FALSE,0.92054,0.036,0.35568,0.043,1.415,0.08,2.5986,0.34,14.285,3.1,1.0042,0.29,3.021,0.18,0.51365,0.012,1.0136,0.023,0.36617,0.01
"Ref_GandH","g=0.8",-1,FALSE,0.95356,0.037,0.42744,0.046,1.4251,0.072,2.2503,0.21,10.58,1.5,0.52355,0.22,3.3617,0.17,0.51503,0.012,1.051,0.023,0.36784,0.01
"Ref_GandH","g=0.9",-1,FALSE,1.0413,0.049,0.5064,0.056,1.7535,0.12,3.206,0.34,18.484,3.2,1.4028,0.29,3.949,0.28,0.55265,0.013,1.1483,0.019,0.41216,0.014
"Ref_GandH","g=1",-1,FALSE,1.1316,0.072,0.63438,0.079,2.4528,0.39,7.9188,1.9,106.18,38,1.8873,0.45,3.853,0.34,0.59753,0.02,1.1057,0.022,0.45306,0.018
"Ref_GandHBias1","g=0.1",-1,FALSE,1.2152,0.027,1.0753,0.032,1.0355,0.023,0.21976,0.073,3.0388,0.15,0.016235,0.13,2.8459,0.074,0.39631,0.0081,0.81932,0.019,0.28885,0.0066
"Ref_GandHBias1","g=0.2",-1,FALSE,1.1728,0.028,1.0741,0.031,1.0244,0.028,0.74404,0.098,4.0659,0.31,0.41451,0.16,2.9668,0.12,0.41551,0.0083,0.89315,0.019,0.30066,0.0068
"Ref_GandHBias1","g=0.3",-1,FALSE,1.2365,0.033,1.1722,0.035,1.1343,0.053,1.6782,0.42,10.343,3.7,0.23127,0.15,3.2346,0.11,0.43993,0.009,0.89901,0.018,0.32006,0.0071
